service,category,ports,iana_descriptions,nmap_descriptions,iana_references,rationale,additional_source,evidence_basis,cisco_category,cisco_subcategory,cisco_source
iss-realsec,security,2998/tcp,,realsecure | ISS RealSecure IDS Remote Console Admin port | Real Secure,,"Dedicated security management, inspection, policy, or incident reporting service.",,registry description / named protocol interpretation,,,
iss-realsecure,security,902/tcp,,ideafarm-door | ISS RealSecure Sensor | self documenting Telnet Door | self documenting Door: send 0x00 for info,,"Security product operations: IDS or firewall, not a physical industrial sensor or general storage.",,registry description / named protocol interpretation,,,
issa,security,9991/tcp,,osm-oev | ISS System Scanner Agent | OSM Event Server,,"Security inspection, threat detection/prevention, vulnerability assessment, security policy, or security product operations.",,registry description / named protocol interpretation,,,
issc,security,9992/tcp,,palace-1 | ISS System Scanner Console | OnLive-1,,"Security inspection, threat detection/prevention, vulnerability assessment, security policy, or security product operations.",,registry description / named protocol interpretation,,,
issd,other,1600/tcp; 1600/udp,issd,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
isysg-lm,other,1609/tcp; 1609/udp,isysg-lm,,,"The source only repeats an abbreviated name. Software licensing is plausible, but not established by this evidence.",,fallback; see rationale,,,
ita-agent,other,5051/udp,ITA Agent,ITA Agent,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
ita-manager,management,5052/tcp; 5052/udp,ITA Manager,ITA Manager,,Documented purpose: Manager,,registry description / named protocol interpretation,,,
itach,other,8184/tcp; 8184/udp,Remote iTach Connection,Remote iTach Connection,,Specialized device/product label without sufficient documented functional context in the reviewed sources.,,fallback; see rationale,,,
itactionserver1,other,7280/tcp; 7280/udp,ITACTIONSERVER 1,ITACTIONSERVER 1,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
itactionserver2,other,7281/tcp; 7281/udp,ITACTIONSERVER 2,ITACTIONSERVER 2,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
italk,chat,12345/udp,Italk Chat System,Italk Chat System,,Documented purpose: Chat,,registry description / named protocol interpretation,,,
itap-ddtp,other,10100/tcp; 10100/udp,VERITAS ITAP DDTP,VERITAS ITAP DDTP,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
itelserverport,other,3719/tcp; 3719/udp,iTel Server Port,iTel Server Port,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
item,management,3848/tcp; 3848/udp,IT Environmental Monitor,IT Environmental Monitor,,Documented purpose: Monitor,,registry description / named protocol interpretation,,,
itinternet,other,2691/tcp; 2691/udp,ITInternet ISM Server,ITInternet ISM Server,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
itm-lm,licensing,2828/tcp; 2828/udp,ITM License Manager,ITM License Manager,,Software license management/verification identified in the source description.,,registry description / named protocol interpretation,,,
itm-mccs,other,3084/tcp; 3084/udp,ITM-MCCS,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
itm-mcell-s,other,828/tcp; 828/udp,itm-mcell-s,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/i.html
itm-mcell-u,other,1828/tcp; 1828/udp,itm-mcell-u,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
ito-e-gui,other,2531/tcp; 2531/udp,ITO-E GUI,ITO-E GUI,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
itose,other,4348/tcp; 4348/udp,ITOSE,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
itscomm-ns,other,1573/tcp; 1573/udp,itscomm-ns,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
itv-control,media,3899/tcp; 3899/udp,ITV Port,ITV Port,,"Audio/video delivery, telephony, conferencing, broadcast control, or media session support.",,registry description / named protocol interpretation,,,
itwo-server,other,4410/tcp,RIB iTWO Application Server,RIB iTWO Application Server,,"Specialized application or insufficiently specific purpose; generic words such as media, router, management, or discovery do not establish a matching core service function.",,fallback; see rationale,,,
iua,network,9900/tcp; 9900/udp,IUA,,,"Network/telecom addressing, routing, forwarding, encapsulation, synchronization, or control signaling.",,registry description / named protocol interpretation,,,
ivcollector,other,1275/tcp; 1275/udp,ivcollector,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
ivecon-port,other,3258/tcp; 3258/udp,Ivecon Server Port,Ivecon Server Port,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
ivmanager,other,1276/tcp; 1276/udp,,,,No source description establishes the identity of this service.,,fallback; see rationale,,,
ivocalize,media,5049/tcp; 5049/udp,iVocalize Web Conference,iVocalize Web Conference,,Documented purpose: Conference,,registry description / named protocol interpretation,,,
ivs-database,database,38000/tcp,InfoVista Server Database,InfoVista Server Database,,Documented purpose: Database,,registry description / named protocol interpretation,,,
ivs-insertion,management,38001/tcp,InfoVista Server Insertion,InfoVista Server Insertion,,"System administration, diagnostics, flow accounting, logging, or monitoring.",,registry description / named protocol interpretation,,,
ivs-video,media,2232/tcp; 2232/udp,IVS Video default,IVS Video default,,Documented purpose: Video,,registry description / named protocol interpretation,,,
ivsd,other,2241/tcp; 2241/udp,IVS Daemon,IVS Daemon,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
iw-mmogame,gaming,3596/tcp; 3596/udp,Illusion Wireless MMOG,Illusion Wireless MMOG,,"Named game, multiplayer transport, game lobby, or game server endpoint.",,registry description / named protocol interpretation,,,
iwb-whiteboard,other,2982/tcp; 2982/udp,IWB-WHITEBOARD,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
iwec,chat,4801/tcp; 4801/udp,Icona Web Embedded Chat,Icona Web Embedded Chat,,Documented purpose: Chat,,registry description / named protocol interpretation,,,
iwg1,other,7071/tcp; 7071/udp,IWGADTS Aircraft Housekeeping Message,IWGADTS Aircraft Housekeeping Message,,Source describes a specialized application outside the selected core taxonomy.,,fallback; see rationale,,,
iwlistener,other,2866/tcp; 2866/udp,iwlistener,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
iwserver,other,2166/tcp; 2166/udp,iwserver,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
izm,middleware,4109/tcp; 4109/udp,Instantiated Zero-control Messaging,Instantiated Zero-control Messaging,,Documented purpose: Messaging,,registry description / named protocol interpretation,,,
j-ac,other,4107/tcp; 4107/udp,JDL Accounting LAN Service,JDL Accounting LAN Service,,"Specialized business, scientific, or medical application; outside the selected core taxonomy.",,fallback; see rationale,,,
j-lan-p,other,2808/tcp; 2808/udp,J-LAN-P,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
j-link,development,19020/tcp,J-Link TCP/IP Protocol,J-Link TCP/IP Protocol,,"Source control, compiler/build/test tooling, debugging, code modeling, or development support.",,registry description / named protocol interpretation,,,
jacobus-lm,licensing,1578/tcp; 1578/udp,Jacobus License Manager,Jacobus License Manager,,Software license management/verification identified in the source description.,,registry description / named protocol interpretation,,,
jaleosnd,other,1623/tcp; 1623/udp,jaleosnd,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jamlink,other,8091/tcp,Jam Link Framework,Jam Link Framework,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jamserverport,other,3627/tcp; 3627/udp,Jam Server Port,Jam Server Port,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
janus-disc,discovery,7181/tcp,Janus Guidewire Enterprise Discovery Service Bus,Janus Guidewire Enterprise Discovery Service Bus,,Documented purpose: Discovery,,registry description / named protocol interpretation,,,
jaugsremotec-1,other,3472/tcp; 3472/udp,JAUGS N-G Remotec 1,JAUGS N-G Remotec 1,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jaugsremotec-2,other,3473/tcp; 3473/udp,JAUGS N-G Remotec 2,JAUGS N-G Remotec 2,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jaus,industrial,3794/tcp; 3794/udp,JAUS Robots,JAUS Robots,,"Physical device/process automation, industrial control, metering, building control, robotics, or industrial telemetry.",,registry description / named protocol interpretation,,,
java-or-OTGfileshare,other,1050/tcp,,"cma | J2EE nameserver, also OTG, also called Disk/Application extender. Could also be MiniCommand backdoor OTGlicenseserv | CORBA Management Agent",,The available evidence is terse or combines unrelated purposes; no specific category can be supported confidently.,,fallback; see rationale,,,
jaxer-manager,management,4328/tcp; 4328/udp,Jaxer Manager Command Protocol,Jaxer Manager Command Protocol,,Documented purpose: Manager,,registry description / named protocol interpretation,,,
jaxer-web,other,4327/tcp; 4327/udp,Jaxer Web Protocol,Jaxer Web Protocol,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jaxflow,management,5229/tcp,Netflow/IPFIX/sFlow Collector and Forwarder Management,Netflow/IPFIX/sFlow Collector and Forwarder Management,,Documented purpose: Management,,registry description / named protocol interpretation,,,
jaxflow-data,other,5230/tcp,JaxMP RealFlow application and protocol data,JaxMP RealFlow application and protocol data,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jboss-iiop,middleware,3528/tcp; 3528/udp,JBoss IIOP,JBoss IIOP,,Documented purpose: IIOP,,registry description / named protocol interpretation,,,
jboss-iiop-ssl,middleware,3529/tcp; 3529/udp,JBoss IIOP/SSL,JBoss IIOP/SSL,,Documented purpose: IIOP,,registry description / named protocol interpretation,,,
jbroker,middleware,2506/tcp; 2506/udp,jbroker,,,"General application messaging, distributed objects, RPC, transaction coordination, or middleware services.",,registry description / named protocol interpretation,,,
jcp,other,19541/tcp; 19541/udp,JCP Client,JCP Client,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jdatastore,database,2508/tcp; 2508/udp,JDataStore,,,"Database, query/index engine, ODBC/access protocol, or database replication endpoint.",,registry description / named protocol interpretation,,,
jdl-dbkitchen,other,3086/udp,JDL-DBKitchen,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jdmn-port,other,4030/tcp; 4030/udp,Accell/JSP Daemon Port,Accell/JSP Daemon Port,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jdp-disc,discovery,7095/tcp,Java Discovery Protocol,Java Discovery Protocol,,Documented purpose: Discovery,,registry description / named protocol interpretation,,,
jediserver,other,2406/tcp; 2406/udp,JediServer,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jeol-nsddp-1,discovery,6241/udp,JEOL Network Services Dynamic Discovery Protocol 1,JEOL Network Services Dynamic Discovery Protocol 1,,Documented purpose: Discovery,,registry description / named protocol interpretation,,,
jeol-nsddp-2,discovery,6242/udp,JEOL Network Services Dynamic Discovery Protocol 2,JEOL Network Services Dynamic Discovery Protocol 2,,Documented purpose: Discovery,,registry description / named protocol interpretation,,,
jeol-nsddp-3,discovery,6243/udp,JEOL Network Services Dynamic Discovery Protocol 3,JEOL Network Services Dynamic Discovery Protocol 3,,Documented purpose: Discovery,,registry description / named protocol interpretation,,,
jeol-nsddp-4,discovery,6244/udp,JEOL Network Services Dynamic Discovery Protocol 4,JEOL Network Services Dynamic Discovery Protocol 4,,Documented purpose: Discovery,,registry description / named protocol interpretation,,,
jeol-nsdtp-1,other,6241/tcp,JEOL Network Services Data Transport Protocol 1,jeol-nsddp-1 | JEOL Network Services Data Transport Protocol 1 | JEOL Network Services Dynamic Discovery Protocol 1,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jeol-nsdtp-2,other,6242/tcp,JEOL Network Services Data Transport Protocol 2,jeol-nsddp-2 | JEOL Network Services Data Transport Protocol 2 | JEOL Network Services Dynamic Discovery Protocol 2,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jeol-nsdtp-3,other,6243/tcp,JEOL Network Services Data Transport Protocol 3,jeol-nsddp-3 | JEOL Network Services Data Transport Protocol 3 | JEOL Network Services Dynamic Discovery Protocol 3,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jeol-nsdtp-4,other,6244/tcp,JEOL Network Services Data Transport Protocol 4,jeol-nsddp-4 | JEOL Network Services Data Transport Protocol 4 | JEOL Network Services Dynamic Discovery Protocol 4,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jerand-lm,licensing,1810/tcp; 1810/udp,Jerand License Manager,Jerand License Manager,,Software license management/verification identified in the source description.,,registry description / named protocol interpretation,,,
jesmsjc,other,27442/tcp; 27442/udp,Job controller service,Job controller service,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jetcmeserver,other,1936/tcp; 1936/udp,JetCmeServer Server Port,JetCmeServer Server Port,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jetdirect,printing,9100/tcp; 9101/tcp; 9102/tcp; 9103/tcp; 9104/tcp; 9105/tcp; 9106/tcp; 9107/tcp,,astergate-disc | astergate | HP JetDirect card | Astergate Control Service | Astergate Discovery Service | astergatefax | HP JetDirect card | AstergateFax Control Service | bacula-dir | HP JetDirect card | Bacula Director | bacula-fd | HP JetDirect card. Also used (and officially registered for) Bacula File Daemon (an open source backup system) | Bacula File Daemon | bacula-sd | HP JetDirect card | Bacula Storage Daemon | pdl-datastream | hp-pdl-datastr | HP JetDirect card | PDL Data Streaming Port | Printer PDL Data Stream | peerwire | HP JetDirect card | PeerWire | xadmin | HP JetDirect card | Xadmin Control Service,,HP JetDirect raw printing / PDL stream.,https://support.hp.com/gb-en/document/c00832492,additional primary documentation,,,
jetform,other,1706/tcp; 1706/udp,jetform,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jetformpreview,other,2097/tcp; 2097/udp,Jet Form Preview,Jet Form Preview,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jetstream,middleware,6901/tcp,Novell Jetstream messaging protocol,Novell Jetstream messaging protocol,,Documented purpose: messaging,,registry description / named protocol interpretation,,,
jibe-eb,other,3777/tcp; 3777/udp,Jibe EdgeBurst,Jibe EdgeBurst,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jini-discovery,discovery,4160/tcp; 4160/udp,Jini Discovery,Jini Discovery,,Documented purpose: Discovery,,registry description / named protocol interpretation,,,
jlicelmd,other,1567/tcp; 1567/udp,jlicelmd,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jmact3,other,6961/tcp; 6961/udp,JMACT3,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jmact5,other,2957/tcp; 2957/udp,JAMCT5,JAMCT5,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jmact6,other,2958/tcp; 2958/udp,JAMCT6,JAMCT6,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jmb-cds1,other,8900/tcp; 8900/udp,JMB-CDS 1,JMB-CDS 1,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jmb-cds2,other,8901/tcp; 8901/udp,JMB-CDS 2,JMB-CDS 2,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jmevt2,other,6962/tcp; 6962/udp,jmevt2,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jmq-daemon-1,middleware,3214/tcp; 3214/udp,JMQ Daemon Port 1,JMQ Daemon Port 1,,"General application messaging, distributed objects, RPC, transaction coordination, or middleware services.",,registry description / named protocol interpretation,,,
jmq-daemon-2,middleware,3215/tcp; 3215/udp,JMQ Daemon Port 2,JMQ Daemon Port 2,,"General application messaging, distributed objects, RPC, transaction coordination, or middleware services.",,registry description / named protocol interpretation,,,
jms,middleware,5673/tcp; 5673/udp,JACL Message Server,JACL Message Server,,"General application messaging, distributed objects, RPC, transaction coordination, or middleware services.",,registry description / named protocol interpretation,,,
joaJewelSuite,other,6583/tcp; 6583/udp,JOA Jewel Suite,JOA Jewel Suite,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jomamqmonitor,management,4114/tcp; 4114/udp,JomaMQMonitor,,,"System administration, diagnostics, flow accounting, logging, or monitoring.",,registry description / named protocol interpretation,,,
joost,media,4166/tcp; 4166/udp,Joost Peer to Peer Protocol,Joost Peer to Peer Protocol,,"Audio/video delivery, telephony, conferencing, broadcast control, or media session support.",,registry description / named protocol interpretation,,,
journee,other,3042/tcp; 3042/udp,journee,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jpegmpeg,media,3155/tcp; 3155/udp,JpegMpeg Port,JpegMpeg Port,,"Audio/video delivery, telephony, conferencing, broadcast control, or media session support.",,registry description / named protocol interpretation,,,
jprinter,printing,5309/tcp; 5309/udp,J Printer,J Printer,,Documented purpose: Printer,,registry description / named protocol interpretation,,,
jps,other,2205/tcp; 2205/udp,Java Presentation Server,Java Presentation Server,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jstel,other,1064/tcp; 1064/udp,JSTEL,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jt400,other,3470/tcp; 3470/udp,jt400,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jt400-ssl,other,3471/tcp; 3471/udp,jt400-ssl,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jtag-server,development,1309/tcp; 1309/udp,JTAG server,JTAG server,,"Source control, compiler/build/test tooling, debugging, code modeling, or development support.",,registry description / named protocol interpretation,,,
jtnetd-server,other,5033/tcp,Janstor Secure Data,Janstor Secure Data,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jtnetd-status,management,5034/tcp,Janstor Status,Janstor Status,,"System administration, diagnostics, flow accounting, logging, or monitoring.",,registry description / named protocol interpretation,,,
juka,development,48048/tcp,Juliar Programming Language Protocol,Juliar Programming Language Protocol,,"Source control, compiler/build/test tooling, debugging, code modeling, or development support.",,registry description / named protocol interpretation,,,
jute,development,5883/tcp,Javascript Unit Test Environment,Javascript Unit Test Environment,,"Source control, compiler/build/test tooling, debugging, code modeling, or development support.",,registry description / named protocol interpretation,,,
juxml-port,other,3642/tcp; 3642/udp,Juxml Replication port,Juxml Replication port,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jvclient,other,1940/tcp; 1940/udp,JetVision Client Port,JetVision Client Port,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jvl-mactalk,management,47100/tcp,Configuration of motors connected to Industrial Ethernet,Configuration of motors connected to Industrial Ethernet,,"Configuration, administration, or management endpoint.",,registry description / named protocol interpretation,,,
jvserver,other,1939/tcp; 1939/udp,JetVision Server Port,JetVision Server Port,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jwalkserver,other,1289/tcp; 1289/udp,JWalkServer,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jwclient,other,1938/tcp; 1938/udp,JetVWay Client Port,JetVWay Client Port,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jwpc,other,16020/tcp,Filemaker Java Web Publishing Core,Filemaker Java Web Publishing Core,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jwpc-bin,other,16021/tcp,Filemaker Java Web Publishing Core Binary,Filemaker Java Web Publishing Core Binary,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
jwserver,other,1937/tcp; 1937/udp,JetVWay Server Port,JetVWay Server Port,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
k-block,other,287/tcp; 287/udp,K-BLOCK,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/k.html
k-patentssensor,industrial,40023/tcp,K-PatentsSensorInformation,K-PatentsSensorInformation,,"Physical device/process automation, industrial control, metering, building control, robotics, or industrial telemetry.",,registry description / named protocol interpretation,,,
k3software-cli,other,26263/tcp; 26263/udp,K3 Software-Client,K3 Software-Client,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
k3software-svr,other,26262/tcp; 26262/udp,K3 Software-Server,K3 Software-Server,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
ka-sddp,other,31016/tcp,Kollective Agent Secure Distributed Delivery Protocol,ka-kdp | Kollective Agent Secure Distributed Delivery Protocol | Kollective Agent Kollective Delivery Protocol,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
ka0wuc,other,2822/tcp; 2822/udp,ka0wuc,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
kademlia,other,3246/udp,,Kademlia P2P (mlnet),,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
kadmin,management,751/tcp; 751/udp,,Kerberos `kadmin' (v4) | pump | Kerberos `kadmin' (v4),,Administrative endpoint for the Kerberos system; authentication endpoints remain Identity & directory.,,registry description / named protocol interpretation,,,
kali,gaming,2213/tcp; 2213/udp,Kali,,,"Named game, multiplayer transport, game lobby, or game server endpoint.",,registry description / named protocol interpretation,gaming,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/k.html
kana,other,2656/tcp; 2656/udp,Kana,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
kaostransport,middleware,9986/tcp,KAOS secure message transport protocol for safety-critical environments,KAOS secure message transport protocol for safety-critical environments,,"General application messaging, distributed objects, RPC, transaction coordination, or middleware services.",,registry description / named protocol interpretation,,,
kar2ouche,discovery,4661/tcp; 4661/udp,Kar2ouche Peer location service,Kar2ouche Peer location service,,"Named directory, service location, name binding, endpoint mapping, or discovery service.",,registry description / named protocol interpretation,,,
kastenchasepad,other,2918/tcp; 2918/udp,Kasten Chase Pad,Kasten Chase Pad,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
kastenxpipe,other,36865/tcp; 36865/udp,KastenX Pipe,KastenX Pipe,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
kauth,identity,2120/tcp,,qencp | Remote kauth | Quick Eagle Networks CP,,"Authentication, identity/directory information, credential/key handling, or authorization endpoint.",,registry description / named protocol interpretation,,,
kca-service,identity,9878/tcp,The KX509 Kerberized Certificate Issuance Protocol in Use in 2012,The KX509 Kerberized Certificate Issuance Protocol in Use in 2012,[RFC6717],Documented purpose: Certificate,,registry description / named protocol interpretation,,,
kdm,other,1024/tcp; 2115/tcp; 2115/udp,Key Distribution Manager,K Display Manager (KDE version of xdm) | Key Distribution Manager,,Identity/security association needs independent corroboration; the available record is too terse.,,fallback; see rationale,,,
kdnet,development,5364/tcp,Microsoft Kernel Debugger,Microsoft Kernel Debugger,,Documented purpose: Debugger,,registry description / named protocol interpretation,,,
kentrox-prot,other,2502/tcp; 2502/udp,Kentrox Protocol,Kentrox Protocol,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
kerberos,identity,750/tcp; 750/udp,Kerberos,kdc Kerberos (v4) | kerberos-iv | loadav | rfile | kdc Kerberos (v4) | kerberos version iv,[RFC4120],Documented purpose: Kerberos,,registry description / named protocol interpretation,net-admin,authentication-services,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/k.html
kerberos-adm,management,749/tcp; 749/udp,kerberos administration,Kerberos 5 admin/changepw | Kerberos 5 admin/changepw | kerberos administration,,Administrative endpoint for the Kerberos system; authentication endpoints remain Identity & directory.,,registry description / named protocol interpretation,net-admin,authentication-services,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/k.html
kerberos-sec,identity,88/tcp; 88/udp,,Kerberos (v5) | kerberos | Kerberos (v5) | Kerberos,,Documented purpose: Kerberos,,registry description / named protocol interpretation,,,
kermit,files,1649/tcp; 1649/udp,kermit,,,"File/photo/object transfer, synchronization, network filesystem access, or file-sharing support.",,registry description / named protocol interpretation,,,
keyserver,identity,584/tcp; 584/udp,Key Server,Key Server,,Cryptographic key distribution; distinct from named software-license services. Corroborated against Cisco protocol reference.,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/k.html,Cisco protocol-reference corroboration,net-admin,authentication-services,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/k.html
keyshadow,licensing,19315/tcp; 19315/udp,Key Shadow for SASSAFRAS,Key Shadow for SASSAFRAS,,Sassafras KeyServer network license management and its shadow server.,https://www.sassafras.com/software/release77/current/Documentation/Help/intro.html,additional primary documentation,,,
keysrvr,licensing,19283/tcp; 19283/udp,Key Server for SASSAFRAS,Key Server for SASSAFRAS,,Sassafras KeyServer network license management and its shadow server.,https://www.sassafras.com/software/release77/current/Documentation/Help/intro.html,additional primary documentation,,,
kfserver,database,5343/tcp; 5343/udp,Sculptor Database Server,Sculptor Database Server,,Documented purpose: Database,,registry description / named protocol interpretation,,,
kftp,files,6621/tcp; 6621/udp,Kerberos V5 FTP Control,Kerberos V5 FTP Control,,The identified endpoint transfers files; authentication/transport does not change that purpose.,,registry description / named protocol interpretation,,,
kftp-data,files,6620/tcp; 6620/udp,Kerberos V5 FTP Data,Kerberos V5 FTP Data,,The identified endpoint transfers files; authentication/transport does not change that purpose.,,registry description / named protocol interpretation,,,
kfxaclicensing,licensing,3581/tcp; 3581/udp,Ascent Capture Licensing,Ascent Capture Licensing,,Software license management/verification identified in the source description.,,registry description / named protocol interpretation,,,
kingdomsonline,gaming,30260/tcp; 30260/udp,Kingdoms Online (CraigAvenue),Kingdoms Online (CraigAvenue),,"Named game, multiplayer transport, game lobby, or game server endpoint.",,registry description / named protocol interpretation,,,
kingfisher,other,4058/tcp; 4058/udp,Kingfisher protocol,Kingfisher protocol,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
kink,identity,910/tcp; 910/udp,Kerberized Internet Negotiation of Keys (KINK),Kerberized Internet Negotiation of Keys (KINK),[RFC4430],"Authentication, identity/directory information, credential/key handling, or authorization endpoint.",,registry description / named protocol interpretation,,,
